Borough,Average Price
City of London,803046
Barking and Dagenham,403389
Barnet,635340
Bexley,443470
Brent,542324
Bromley,555219
Camden,853155
Croydon,421139.2376
Ealing,506143.1385
Enfield,504441.6624
Greenwich,506033
Hackney,652731
Hammersmith and Fulham,829570
Haringey,649048.6846
Harrow,560215
Havering,477665
Hillingdon,430984
Hounslow,408631.7179
Islington,769450.7156
Kensington and Chelsea,1346455.641
Kingston upon Thames,502407.2465
Lambeth,552828
Lewisham,432541
Merton,555325.7763
Newham,392662
Redbridge,482138
Richmond upon Thames,699675
Southwark,520770.6138
Sutton,386214
Tower Hamlets,467574.0254
Waltham Forest,461726.9731
Wandsworth,695803
Westminster,925004
