Borough,Population,Employment rate in 2020
Sutton,106800,82.4
City of London,6800,82.1
Lambeth,201700,81.9
Wandsworth,185100,80.3
Bromley,160600,79
Richmond upon Thames,101800,78.9
Havering,122900,78.3
Croydon,193200,77.8
Merton,108600,77.8
Lewisham,163100,77.4
Hammersmith and Fulham,100500,76.2
Bexley,119400,76
Waltham Forest,141200,75.6
Ealing,172600,75.3
Haringey,146700,74.7
Southwark,172400,74.6
Hillingdon,147600,74.2
Harrow,118400,73.5
Greenwich,135800,73
Hackney,144600,72.8
Barnet,184700,72.4
Islington,125300,72
Kingston upon Thames,85400,71.6
Redbridge,140700,71.6
Hounslow,133900,71.5
Camden,122800,70.2
Enfield,150400,70.1
Newham,164900,68.7
Westminster,116800,68
Brent,150500,67.5
Barking and Dagenham,86000,65.8
Tower Hamlets,147400,65.3
Kensington and Chelsea,69900,64.5
